tweet_id,favorites,retweets
852553447878664193,17155,3775
852311364735569921,34706,10650
852226086759018497,20955,7346
852189679701164033,12004,1700
851953902622658560,0,10391
851861385021730816,0,23
851591660324737024,17007,3732
851464819735769094,25487,7624
851224888060895234,21705,6178
850753642995093505,32669,10049
850380195714523136,13723,2823
850333567704068097,3587,361
850145622816686080,17187,4132
850019790995546112,21542,5305
849776966551130114,32087,8234
849668094696017920,0,5375
849412302885593088,16729,3393
849336543269576704,12046,2047
849051919805034497,44738,9249
848690551926992896,26613,4683
848324959059550208,26139,4997
848213670039564288,8637,813
848212111729840128,17274,3343
847978865427394560,0,3540
847971574464610304,0,467
847962785489326080,24817,5565
847842811428974592,5807,1466
847617282490613760,7415,456
847606175596138505,19828,3671
847251039262605312,21611,4656
847157206088847362,21154,6368
847116187444137987,22677,3473
846874817362120707,21270,4276
846514051647705089,47366,12646
846505985330044928,14994,3377
846153765933735936,33676,9876
846139713627017216,32679,10708
846042936437604353,16950,3141
845812042753855489,31082,9547
845677943972139009,26637,5218
845397057150107648,8093,1992
845306882940190720,24755,5878
845098359547420673,0,8391
844979544864018432,14468,2829
844973813909606400,16071,3516
844704788403113984,41178,11312
844580511645339650,17495,3428
844223788422217728,14478,2397
843981021012017153,16041,3196
843856843873095681,22755,5064
843604394117681152,17952,2993
843235543001513987,22865,6628
842846295480000512,16174,3922
842765311967449089,7185,1401
842535590457499648,19254,3831
842163532590374912,26093,6356
842115215311396866,14923,3311
841833993020538882,0,16910
841680585030541313,27302,8502
841439858740625411,13476,4033
841320156043304961,21047,5951
841314665196081154,16939,5164
841077006473256960,24447,5822
840761248237133825,0,1926
840728873075638272,0,17782
840698636975636481,195,3
840696689258311684,13126,1086
840632337062862849,9579,1926
840370681858686976,17581,5011
840268004936019968,20578,6302
839990271299457024,14350,2531
839549326359670784,29423,8557
839290600511926273,0,155
839239871831150596,29076,7208
838952994649550848,20980,4390
838921590096166913,11943,2284
838916489579200512,0,37
838831947270979586,0,12216
838561493054533637,11667,1465
838476387338051585,24210,5320
838201503651401729,0,11176
838150277551247360,1794,358
838085839343206401,149,0
838083903487373313,18860,3469
837820167694528512,36593,8687
837482249356513284,4115,488
837471256429613056,13720,2552
837366284874571778,22625,5842
837110210464448512,17135,2649
836989968035819520,13627,2538
836753516572119041,20616,5096
836677758902222849,13505,2451
836648853927522308,0,608
836397794269200385,0,30474
836380477523124226,15765,3244
836260088725786625,22761,4733
836001077879255040,20491,4769
835685285446955009,0,9052
835574547218894849,19100,4010
835536468978302976,0,1882
835309094223372289,0,23286
835297930240217089,17564,3303
835264098648616962,8332,1882
835246439529840640,2237,81
835172783151792128,28017,6360
835152434251116546,24101,3354
834931633769889797,11625,1824
834786237630337024,22630,6036
834574053763584002,14719,2806
834477809192075265,0,11816
834458053273591808,10322,1855
834209720923721728,22127,5305
834167344700198914,16898,4022
834089966724603904,10782,2356
834086379323871233,14016,2454
833863086058651648,14395,2665
833826103416520705,16463,3812
833732339549220864,0,241
833722901757046785,22198,3552
833479644947025920,15967,2290
833124694597443584,21717,5375
832998151111966721,14302,2457
832769181346996225,0,42
832757312314028032,18085,4018
832682457690300417,12773,3270
832645525019123713,3138,577
832636094638288896,17056,3110
832397543355072512,12864,2474
832369877331693569,18451,3540
832273440279240704,12151,2596
832215909146226688,0,6877
832215726631055365,0,10413
832088576586297345,72,2
832040443403784192,0,10814
832032802820481025,19227,5181
831939777352105988,25847,6834
831926988323639298,367,36
831911600680497154,29782,7260
831670449226514432,11243,2015
831650051525054464,7732,2171
831552930092285952,9701,2557
831322785565769729,9875,1698
831315979191906304,6999,1235
831309418084069378,12595,2710
831262627380748289,12825,2284
830956169170665475,8583,1678
830583320585068544,72088,18765
830173239259324417,0,6360
830097400375152640,10594,3350
829878982036299777,0,5594
829861396166877184,13190,2187
829501995190984704,34214,11816
829449946868879360,11300,2265
829374341691346946,37365,10391
829141528400556032,26445,8265
829011960981237760,57155,18093
828801551087042563,0,3792
828770345708580865,27581,6555
828708714936930305,39501,12506
828650029636317184,10271,1498
828409743546925057,6777,1280
828408677031882754,8253,1430
